objectid,sa2_code_2021,sa2_name_2021,change_flag_2021,change_label_2021,sa3_code_2021,sa3_name_2021,sa4_code_2021,sa4_name_2021,gccsa_code_2021,gccsa_name_2021,state_code_2021,state_name_2021,aus_code_2021,aus_name_2021,area_albers_sqkm,asgs_loci_uri_2021,shape_Length,shape_Area
1,101021007,Braidwood,0,No change,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,3418.3525,http://linked.data.gov.au/dataset/asgsed3/SA2/101021007,489708.885781251,5163325543.24678
2,101021008,Karabar,0,No change,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,6.9825,http://linked.data.gov.au/dataset/asgsed3/SA2/101021008,16663.6007910546,10525755.4151247
3,101021009,Queanbeyan,0,No change,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,4.762,http://linked.data.gov.au/dataset/asgsed3/SA2/101021009,12720.1323249278,7174499.74918502
4,101021010,Queanbeyan - East,0,No change,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,13.0032,http://linked.data.gov.au/dataset/asgsed3/SA2/101021010,23771.9174859532,19592888.587756
5,101021012,Queanbeyan West - Jerrabomberra,0,No change,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,13.6748,http://linked.data.gov.au/dataset/asgsed3/SA2/101021012,24312.7603259089,20614682.7250446
6,101021610,Googong,1,New,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,6.9164,http://linked.data.gov.au/dataset/asgsed3/SA2/101021610,13479.4685113875,10439961.5343436
7,101021611,Queanbeyan Surrounds,1,New,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,3047.7057,http://linked.data.gov.au/dataset/asgsed3/SA2/101021611,545874.778597191,4602212150.77098
8,101031013,Bombala,0,No change,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,3990.144,http://linked.data.gov.au/dataset/asgsed3/SA2/101031013,559809.669847853,6247696360.64006
9,101031014,Cooma,0,No change,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,103.6371,http://linked.data.gov.au/dataset/asgsed3/SA2/101031014,67147.9498644807,159679656.910413
10,101031015,Cooma Surrounds,3,Name change,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,6251.0158,http://linked.data.gov.au/dataset/asgsed3/SA2/101031015,888975.58414042,9601597374.63267
11,101031016,Jindabyne - Berridale,0,No change,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,3939.7888,http://linked.data.gov.au/dataset/asgsed3/SA2/101031016,584797.400035639,6107834955.25085
12,101041017,Batemans Bay,0,No change,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,63.7073,http://linked.data.gov.au/dataset/asgsed3/SA2/101041017,89675.2140257264,96815378.9354681
13,101041018,Batemans Bay - South,0,No change,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,30.5948,http://linked.data.gov.au/dataset/asgsed3/SA2/101041018,70227.8215414617,46589232.1244624
14,101041019,Bega - Tathra,0,No change,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,183.8984,http://linked.data.gov.au/dataset/asgsed3/SA2/101041019,122353.450336432,286807127.453904
15,101041020,Bega-Eden Hinterland,0,No change,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,4709.8265,http://linked.data.gov.au/dataset/asgsed3/SA2/101041020,953591.546341268,7384623482.95801
16,101041021,Broulee - Tomakin,0,No change,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,24.2329,http://linked.data.gov.au/dataset/asgsed3/SA2/101041021,49947.437397911,36958730.1799668
17,101041022,Deua - Wadbilliga,0,No change,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,2781.9988,http://linked.data.gov.au/dataset/asgsed3/SA2/101041022,750674.266543392,4278600260.6714
18,101041023,Eden,0,No change,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,94.8138,http://linked.data.gov.au/dataset/asgsed3/SA2/101041023,115080.405310551,149052156.959946
19,101041024,Eurobodalla Hinterland,0,No change,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,1460.0118,http://linked.data.gov.au/dataset/asgsed3/SA2/101041024,580861.356912555,2222820471.7407
20,101041025,Merimbula - Tura Beach,0,No change,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,97.3395,http://linked.data.gov.au/dataset/asgsed3/SA2/101041025,106005.26789899,152500317.260061
21,101041026,Moruya - Tuross Head,0,No change,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,165.4118,http://linked.data.gov.au/dataset/asgsed3/SA2/101041026,108064.309795681,252918759.84723
22,101041027,Narooma - Bermagui,0,No change,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,252.652,http://linked.data.gov.au/dataset/asgsed3/SA2/101041027,211916.92773618,389900571.882653
23,101051539,Goulburn,0,No change,10105,Goulburn - Mulwaree,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,64.7865,http://linked.data.gov.au/dataset/asgsed3/SA2/101051539,54584.7456710769,96195334.4273496
24,101051540,Goulburn Surrounds,3,Name change,10105,Goulburn - Mulwaree,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,9035.1222,http://linked.data.gov.au/dataset/asgsed3/SA2/101051540,975864.281422163,13340829043.7311
25,101061541,Yass,0,No change,10106,Young - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,99.7341,http://linked.data.gov.au/dataset/asgsed3/SA2/101061541,68047.8289924797,148340076.969353
26,101061542,Yass Surrounds,3,Name change,10106,Young - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,5680.5696,http://linked.data.gov.au/dataset/asgsed3/SA2/101061542,732177.200415156,8460159176.20342
27,101061543,Young,0,No change,10106,Young - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,505.753,http://linked.data.gov.au/dataset/asgsed3/SA2/101061543,179521.339234155,743295641.033334
28,101061544,Young Surrounds,3,Name change,10106,Young - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,5849.8086,http://linked.data.gov.au/dataset/asgsed3/SA2/101061544,958973.150422993,8595151942.69613
29,102011028,Avoca Beach - Copacabana,0,No change,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,6.4376,http://linked.data.gov.au/dataset/asgsed3/SA2/102011028,22285.2508262956,9276612.15289842
