Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name
2024,40000,40003,3,40000,Corpus Christi Catholic School,BELLERIVE,TAS,7018,Catholic,Primary,0,School Single Entity,-42.871256,147.371473,1,Inner Regional,60032390000,60102100410,601021004,Bellerive - Rosny,60102,Hobart - North East,601,Hobart,61410,Clarence,60411,Franklin (Pembroke),604,Franklin
2024,40001,40004,4,40001,Fahan School,SANDY BAY,TAS,7005,Independent,Combined,0,School Single Entity,-42.91615827,147.3527644,1,Inner Regional,60105761500,60105103105,601051031,Sandy Bay,60105,Hobart Inner,601,Hobart,62810,Hobart,60310,Clark (Nelson),603,Clark
2024,40002,40005,5,40002,Geneva Christian College,LATROBE,TAS,7307,Independent,Combined,0,School Single Entity,-41.226741,146.438726,2,Outer Regional,60078690000,60402108723,604021087,Latrobe,60402,Devonport,604,West and North West,63810,Latrobe (Tas.),60207,Braddon (Mersey),602,Braddon
2024,40003,40007,7,40003,Holy Rosary Catholic School,CLAREMONT,TAS,7011,Catholic,Primary,0,School Single Entity,-42.789375,147.248306,1,Inner Regional,60050000000,60103101510,601031015,Claremont (Tas.),60103,Hobart - North West,601,Hobart,62610,Glenorchy,60301,Clark (Derwent),603,Clark
2024,40004,40009,9,40004,Immaculate Heart of Mary Catholic School,LENAH VALLEY,TAS,7008,Catholic,Primary,0,School Single Entity,-42.865543,147.290159,1,Inner Regional,60058010000,60105102812,601051028,Lenah Valley - Mount Stuart,60105,Hobart Inner,601,Hobart,62810,Hobart,60303,Clark (Hobart),603,Clark
2024,40005,40010,10,40005,John Calvin School,LAUNCESTON,TAS,7250,Independent,Combined,0,School Single Entity,-41.447919,147.144799,1,Inner Regional,60080780000,60201104710,602011047,South Launceston,60201,Launceston,602,Launceston and North East,64010,Launceston,60105,Bass (Launceston),601,Bass
2024,40006,40011,11,40006,Larmenier Catholic School,ST LEONARDS,TAS,7250,Catholic,Primary,0,School Single Entity,-41.460784,147.194752,1,Inner Regional,60083570000,60201105004,602011050,Waverley - St Leonards,60201,Launceston,602,Launceston and North East,64010,Launceston,60115,Bass (Windermere),601,Bass
2024,40007,40012,12,40007,Launceston Church Grammar School,MOWBRAY,TAS,7248,Independent,Secondary,0,School Head Campus,-41.408156,147.128813,1,Inner Regional,60087010000,60201104001,602011040,Mowbray,60201,Launceston,602,Launceston and North East,64010,Launceston,60115,Bass (Windermere),601,Bass
2024,40008,40013,13,40008,St James Catholic College,CYGNET,TAS,7112,Catholic,Combined,0,School Single Entity,-43.161812,147.075798,2,Outer Regional,60064650000,60302107002,603021070,Cygnet,60302,Huon - Bruny Island,603,South East,63010,Huon Valley,60404,Franklin (Huon),604,Franklin
2024,40009,40018,18,40009,Our Lady of Lourdes Catholic School,DEVONPORT,TAS,7310,Catholic,Primary,0,School Single Entity,-41.18021,146.355196,2,Outer Regional,60040710000,60402108502,604021085,Devonport,60402,Devonport,604,West and North West,61610,Devonport,60207,Braddon (Mersey),602,Braddon
