Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%),Latitude,Longitude
2024,40000,40003.0,3.0,Corpus Christi Catholic School,Bellerive,TAS,7018,Catholic,Primary,School Single Entity,Individual Reporting,http://www.corpuschristi.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1059.0,72.0,13.0,31.0,27.0,29.0,32.0,24.1,25.0,16.6,410.0,193.0,217.0,409.6,6.0,8.0,92.0,0.0,-42.871256,147.371473
2024,40001,40004.0,4.0,Fahan School,Sandy Bay,TAS,7005,Independent,Combined,School Single Entity,Individual Reporting,http://www.fahan.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1149.0,95.0,2.0,10.0,26.0,62.0,49.0,39.9,41.0,25.7,399.0,399.0,0.0,399.0,2.0,12.0,88.0,0.0,-42.91615827,147.3527644
2024,40002,40005.0,5.0,Geneva Christian College,Latrobe,TAS,7307,Independent,Combined,School Single Entity,Individual Reporting,http://www.geneva.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Outer Regional,,,,,,,33.0,26.2,46.0,30.1,297.0,162.0,135.0,297.0,3.0,5.0,95.0,0.0,-41.226741,146.438726
2024,40003,40007.0,7.0,Holy Rosary Catholic School,Claremont,TAS,7011,Catholic,Primary,School Single Entity,Individual Reporting,http://www.holyrosary.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,984.0,40.0,33.0,40.0,19.0,8.0,26.0,23.0,34.0,19.5,372.0,162.0,210.0,372.0,10.0,8.0,92.0,0.0,-42.789375,147.248306
2024,40004,40009.0,9.0,Immaculate Heart of Mary Catholic School,Lenah Valley,TAS,7008,Catholic,Primary,School Single Entity,Individual Reporting,http://www.ihms.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1033.0,62.0,25.0,26.0,24.0,24.0,19.0,13.7,18.0,9.6,198.0,86.0,112.0,198.0,5.0,19.0,81.0,0.0,-42.865543,147.290159
2024,40005,40010.0,10.0,John Calvin School,Launceston,TAS,7250,Independent,Combined,School Single Entity,Individual Reporting,http://www.jcs.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-10,Inner Regional,1055.0,70.0,15.0,32.0,30.0,23.0,14.0,11.4,13.0,9.3,119.0,58.0,61.0,119.0,0.0,0.0,100.0,0.0,-41.447919,147.144799
2024,40006,40011.0,11.0,Larmenier Catholic School,St Leonards,TAS,7250,Catholic,Primary,School Single Entity,Individual Reporting,https://www.larmenier.tas.edu.au/,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1009.0,51.0,26.0,37.0,24.0,13.0,18.0,13.8,21.0,13.0,193.0,104.0,89.0,192.8,8.0,9.0,91.0,0.0,-41.460784,147.194752
2024,40007,40012.0,12.0,Launceston Church Grammar School,Mowbray,TAS,7248,Independent,Combined,School Head Campus,Rolled Reporting,http://www.lcgs.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1092.0,82.0,8.0,20.0,32.0,40.0,89.0,75.4,92.0,52.4,704.0,333.0,371.0,704.0,3.0,9.0,51.0,39.0,-41.408156,147.128813
2024,40008,40013.0,13.0,St James Catholic College,Cygnet,TAS,7112,Catholic,Combined,School Single Entity,Individual Reporting,http://www.sjcc.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-10,Outer Regional,885.0,8.0,54.0,28.0,13.0,5.0,26.0,21.2,23.0,15.4,229.0,118.0,111.0,229.0,45.0,4.0,96.0,0.0,-43.161812,147.075798
2024,40009,40018.0,18.0,Our Lady of Lourdes Catholic School,Devonport,TAS,7310,Catholic,Primary,School Single Entity,Individual Reporting,http://www.ololshills.catholic.edu.au/,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,1014.0,53.0,24.0,32.0,26.0,17.0,27.0,21.6,42.0,24.8,391.0,199.0,192.0,391.0,10.0,10.0,90.0,0.0,-41.18021,146.355196
2024,40010,40019.0,19.0,Our Lady of Mercy Catholic School,Deloraine,TAS,7304,Catholic,Primary,School Single Entity,Individual Reporting,http://www.olom.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,963.0,30.0,42.0,30.0,19.0,10.0,11.0,8.8,10.0,5.5,78.0,30.0,48.0,77.8,18.0,2.0,98.0,0.0,-41.525172,146.64995
2024,40011,40022.0,22.0,Sacred Heart Catholic School,Ulverstone,TAS,7315,Catholic,Primary,School Single Entity,Individual Reporting,http://www.shu.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,1005.0,49.0,22.0,36.0,25.0,17.0,19.0,14.9,28.0,12.2,249.0,126.0,123.0,248.3,16.0,2.0,98.0,0.0,-41.155798,146.186851
