Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%)
2024,40000,40003,3,Corpus Christi Catholic School,Bellerive,TAS,7018,Catholic,Primary,School Single Entity,Individual Reporting,http://www.corpuschristi.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1059,72,13,31,27,29,32,24.1,25,16.6,410,193,217,409.6,6,8,92,0
2024,40001,40004,4,Fahan School,Sandy Bay,TAS,7005,Independent,Combined,School Single Entity,Individual Reporting,http://www.fahan.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1149,95,2,10,26,62,49,39.9,41,25.7,399,399,0,399,2,12,88,0
2024,40002,40005,5,Geneva Christian College,Latrobe,TAS,7307,Independent,Combined,School Single Entity,Individual Reporting,http://www.geneva.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Outer Regional,,,,,,,33,26.2,46,30.1,297,162,135,297,3,5,95,0
2024,40003,40007,7,Holy Rosary Catholic School,Claremont,TAS,7011,Catholic,Primary,School Single Entity,Individual Reporting,http://www.holyrosary.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,984,40,33,40,19,8,26,23,34,19.5,372,162,210,372,10,8,92,0
2024,40004,40009,9,Immaculate Heart of Mary Catholic School,Lenah Valley,TAS,7008,Catholic,Primary,School Single Entity,Individual Reporting,http://www.ihms.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1033,62,25,26,24,24,19,13.7,18,9.6,198,86,112,198,5,19,81,0
2024,40005,40010,10,John Calvin School,Launceston,TAS,7250,Independent,Combined,School Single Entity,Individual Reporting,http://www.jcs.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-10,Inner Regional,1055,70,15,32,30,23,14,11.4,13,9.3,119,58,61,119,0,0,100,0
2024,40006,40011,11,Larmenier Catholic School,St Leonards,TAS,7250,Catholic,Primary,School Single Entity,Individual Reporting,https://www.larmenier.tas.edu.au/,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1009,51,26,37,24,13,18,13.8,21,13,193,104,89,192.8,8,9,91,0
2024,40007,40012,12,Launceston Church Grammar School,Mowbray,TAS,7248,Independent,Combined,School Head Campus,Rolled Reporting,http://www.lcgs.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1092,82,8,20,32,40,89,75.4,92,52.4,704,333,371,704,3,9,51,39
2024,40008,40013,13,St James Catholic College,Cygnet,TAS,7112,Catholic,Combined,School Single Entity,Individual Reporting,http://www.sjcc.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-10,Outer Regional,885,8,54,28,13,5,26,21.2,23,15.4,229,118,111,229,45,4,96,0
2024,40009,40018,18,Our Lady of Lourdes Catholic School,Devonport,TAS,7310,Catholic,Primary,School Single Entity,Individual Reporting,http://www.ololshills.catholic.edu.au/,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,1014,53,24,32,26,17,27,21.6,42,24.8,391,199,192,391,10,10,90,0
2024,40010,40019,19,Our Lady of Mercy Catholic School,Deloraine,TAS,7304,Catholic,Primary,School Single Entity,Individual Reporting,http://www.olom.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,963,30,42,30,19,10,11,8.8,10,5.5,78,30,48,77.8,18,2,98,0
2024,40011,40022,22,Sacred Heart Catholic School,Ulverstone,TAS,7315,Catholic,Primary,School Single Entity,Individual Reporting,http://www.shu.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,1005,49,22,36,25,17,19,14.9,28,12.2,249,126,123,248.3,16,2,98,0
2024,40012,40023,23,Sacred Heart Catholic School,Geeveston,TAS,7116,Catholic,Primary,School Single Entity,Individual Reporting,http://www.shg.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,952,25,39,29,22,10,18,13.4,16,8.7,140,59,81,137.6,26,5,95,0
2024,40014,40026,26,St Anthony's Catholic School,Riverside,TAS,7250,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stanthonys.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1040,64,16,34,29,20,14,12.1,12,7.4,185,82,103,185,5,17,83,0
2024,40015,40027,27,St Peter Chanel Catholic School,Smithton,TAS,7330,Catholic,Primary,School Single Entity,Individual Reporting,http://stpeterchanel.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,874,7,59,27,11,4,13,10.6,18,8.7,126,49,77,126,49,5,95,0
2024,40016,40029,29,St Brigid's Catholic School,New Norfolk,TAS,7140,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stbrigidsnn.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,965,31,42,36,15,7,16,14,15,8.3,188,98,90,188,17,3,97,0
2024,40017,40030,30,St Brigid's Catholic School,Wynyard,TAS,7325,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sbw.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,974,35,35,32,17,16,15,12.4,17,8.9,186,97,89,186,19,0,100,0
2024,40018,40031,31,St Cuthbert's Catholic School,Lindisfarne,TAS,7015,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stcuthberts.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1034,62,22,28,27,23,26,17.6,30,13.3,240,96,144,238.9,7,10,90,0
2024,40019,40036,36,St John's Catholic School,Richmond,TAS,7025,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjohns.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,1008,51,26,36,26,11,22,19.2,20,10.6,282,122,160,282,5,2,98,0
2024,40020,40038,38,St Joseph's Catholic School,Rosebery,TAS,7470,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjosephsr.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Remote,921,15,54,18,15,12,8,6,7,4.5,51,27,24,51,18,21,79,0
2024,40021,40039,39,St Joseph's Catholic School,Queenstown,TAS,7467,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjosephsq.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Remote,930,17,59,23,12,5,11,8.8,11,5.9,65,31,34,65,14,1,99,0
2024,40022,40040,40,St Mary's College,Hobart,TAS,7000,Catholic,Combined,School Single Entity,Individual Reporting,http://www.smc.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-12,Inner Regional,1059,72,14,27,31,28,114,91.7,69,50.2,945,945,0,945,5,10,90,0
2024,40023,40045,45,St Patrick's Catholic School,Latrobe,TAS,7307,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stpatslatrobe.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,993,43,34,31,22,13,19,12.1,21,12.8,165,81,84,165,8,5,95,0
2024,40024,40047,47,St Therese's Catholic School,Moonah,TAS,7009,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sttherese.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1025,58,19,36,29,16,18,14.4,18,7.9,207,106,101,207,6,17,83,0
2024,40025,40055,55,Hilliard Christian School,West Moonah,TAS,7009,Independent,Combined,School Single Entity,Individual Reporting,https://hilliard.tas.edu.au/,Adventist Schools Australia,https://www.adventist.edu.au/,Prep-10,Inner Regional,985,40,38,32,21,9,20,18.7,14,10.3,223,105,118,223,3,62,38,0
2024,40026,40056,56,Star of the Sea Catholic College,George Town,TAS,7253,Catholic,Combined,School Single Entity,Individual Reporting,http://www.starsea.tas.edu.au/,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-10,Outer Regional,942,22,53,28,13,6,22,18.4,19,11.1,167,76,91,166.1,11,1,99,0
2024,40027,40058,58,Stella Maris Catholic School,Burnie,TAS,7320,Catholic,Primary,School Single Entity,Individual Reporting,http://stellamaris.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,1025,58,22,33,24,21,27,21.5,25,13.7,378,201,177,377.4,8,10,90,0
2024,40028,40059,59,The Friends' School,North Hobart,TAS,7000,Independent,Combined,School Head Campus,Rolled Reporting,http://www.friends.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1143,94,4,10,25,61,144,121.7,103,76.8,1248,632,616,1248,1,16,71,13
2024,40029,40060,60,The Hutchins School,Sandy Bay,TAS,7005,Independent,Combined,School Single Entity,Individual Reporting,http://www.hutchins.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1139,93,2,10,28,60,121,108.5,86,65.9,1016,0,1016,1016,2,18,82,0
2024,40030,42261,2261,The Cottage School,Bellerive,TAS,7018,Independent,Primary,School Single Entity,Individual Reporting,http://www.cottageschool.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-6,Inner Regional,1116,88,5,17,31,48,12,6.8,17,7.5,79,41,38,79,0,10,90,0
2024,40031,42801,2801,Launceston Christian School,Riverside,TAS,7250,Independent,Combined,School Single Entity,Individual Reporting,http://www.lcs.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1063,73,14,25,33,28,73,60.5,53,34,717,368,349,717,2,7,85,8
2024,40032,42802,2802,Leighland Christian School,Ulverstone,TAS,7315,Independent,Combined,School Head Campus,Rolled Reporting,http://www.leighland.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Outer Regional,1016,54,26,30,25,19,69,55.8,80,42.4,610,301,309,610,9,7,93,0
2024,40033,42803,2803,North West Christian School,Penguin,TAS,7316,Independent,Combined,School Single Entity,Individual Reporting,https://www.northwestchristianschool.com.au/,Adventist Schools Australia,https://www.adventist.edu.au/,Prep-12,Outer Regional,1011,52,23,30,24,23,14,11.6,12,9.1,107,48,59,104.2,21,0,100,0
2024,40035,42805,2805,St Michael's Collegiate School,Hobart,TAS,7000,Independent,Combined,School Head Campus,Rolled Reporting,http://www.collegiate.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1122,90,3,15,29,53,108,63.6,125,46.2,653,653,0,653,3,6,94,0
2024,40036,42809,2809,Scotch Oakburn College,Newstead,TAS,7250,Independent,Combined,School Head Campus,Rolled Reporting,http://www.soc.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1118,89,5,15,29,50,151,113.7,187,92.6,1132,588,544,1132,1,15,84,0
2024,40037,42816,2816,John Paul II Catholic School,Clarendon Vale,TAS,7019,Catholic,Primary,School Single Entity,Individual Reporting,http://www.johnpaul.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,976,36,38,30,23,9,21,14.3,25,17.8,198,97,101,198,11,15,85,0
2024,40038,42818,2818,The Launceston Preparatory School,Launceston,TAS,7250,Independent,Primary,School Single Entity,Individual Reporting,http://www.lps.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-6,Inner Regional,1142,94,2,12,31,56,12,9.5,9,5.1,110,57,53,110,0,8,92,0
2024,40039,42819,2819,Eastside Lutheran College,Warrane,TAS,7018,Independent,Combined,School Single Entity,Individual Reporting,http://www.elc.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1004,49,29,33,27,11,37,32.8,37,25,304,125,179,303.2,6,12,88,0
