Calendar year,State/territory,School sector,School level,Student-teacher ratio
2024,New South Wales,Government,Primary,14.1
2024,New South Wales,Government,Secondary,12.7
2024,New South Wales,Government,All,13.5
2024,New South Wales,Catholic,Primary,15.6
2024,New South Wales,Catholic,Secondary,12.0
2024,New South Wales,Catholic,All,13.5
2024,New South Wales,Independent,Primary,13.6
2024,New South Wales,Independent,Secondary,10.2
2024,New South Wales,Independent,All,11.5
2024,New South Wales,All non-government,Primary,14.7
2024,New South Wales,All non-government,Secondary,11.1
2024,New South Wales,All non-government,All,12.6
2024,New South Wales,All,Primary,14.3
2024,New South Wales,All,Secondary,12.0
2024,New South Wales,All,All,13.2
2024,Victoria,Government,Primary,13.0
2024,Victoria,Government,Secondary,11.5
2024,Victoria,Government,All,12.4
2024,Victoria,Catholic,Primary,13.3
2024,Victoria,Catholic,Secondary,11.4
2024,Victoria,Catholic,All,12.3
2024,Victoria,Independent,Primary,12.9
2024,Victoria,Independent,Secondary,9.6
2024,Victoria,Independent,All,10.7
2024,Victoria,All non-government,Primary,13.2
2024,Victoria,All non-government,Secondary,10.4
2024,Victoria,All non-government,All,11.6
2024,Victoria,All,Primary,13.1
2024,Victoria,All,Secondary,11.0
2024,Victoria,All,All,12.1
2024,Queensland,Government,Primary,14.1
2024,Queensland,Government,Secondary,11.8
2024,Queensland,Government,All,13.0
2024,Queensland,Catholic,Primary,16.1
2024,Queensland,Catholic,Secondary,12.3
2024,Queensland,Catholic,All,14.0
2024,Queensland,Independent,Primary,15.1
2024,Queensland,Independent,Secondary,11.6
2024,Queensland,Independent,All,12.9
2024,Queensland,All non-government,Primary,15.6
2024,Queensland,All non-government,Secondary,11.9
2024,Queensland,All non-government,All,13.4
2024,Queensland,All,Primary,14.5
2024,Queensland,All,Secondary,11.9
2024,Queensland,All,All,13.2
2024,South Australia,Government,Primary,13.6
2024,South Australia,Government,Secondary,13.0
2024,South Australia,Government,All,13.4
2024,South Australia,Catholic,Primary,14.6
2024,South Australia,Catholic,Secondary,12.4
2024,South Australia,Catholic,All,13.5
2024,South Australia,Independent,Primary,14.0
2024,South Australia,Independent,Secondary,10.9
2024,South Australia,Independent,All,12.2
2024,South Australia,All non-government,Primary,14.3
2024,South Australia,All non-government,Secondary,11.5
2024,South Australia,All non-government,All,12.8
2024,South Australia,All,Primary,13.9
2024,South Australia,All,Secondary,12.4
2024,South Australia,All,All,13.1
2024,Western Australia,Government,Primary,15.4
2024,Western Australia,Government,Secondary,12.8
2024,Western Australia,Government,All,14.2
2024,Western Australia,Catholic,Primary,16.2
2024,Western Australia,Catholic,Secondary,12.4
2024,Western Australia,Catholic,All,14.0
2024,Western Australia,Independent,Primary,13.6
2024,Western Australia,Independent,Secondary,11.0
2024,Western Australia,Independent,All,12.0
2024,Western Australia,All non-government,Primary,14.8
2024,Western Australia,All non-government,Secondary,11.6
2024,Western Australia,All non-government,All,12.9
2024,Western Australia,All,Primary,15.2
2024,Western Australia,All,Secondary,12.3
2024,Western Australia,All,All,13.8
2024,Tasmania,Government,Primary,12.7
2024,Tasmania,Government,Secondary,11.4
2024,Tasmania,Government,All,12.1
2024,Tasmania,Catholic,Primary,14.5
2024,Tasmania,Catholic,Secondary,11.6
2024,Tasmania,Catholic,All,12.9
2024,Tasmania,Independent,Primary,11.9
2024,Tasmania,Independent,Secondary,9.7
2024,Tasmania,Independent,All,10.6
2024,Tasmania,All non-government,Primary,13.4
2024,Tasmania,All non-government,Secondary,10.7
2024,Tasmania,All non-government,All,11.8
2024,Tasmania,All,Primary,12.9
2024,Tasmania,All,Secondary,11.1
2024,Tasmania,All,All,12.0
2024,Northern Territory,Government,Primary,11.3
2024,Northern Territory,Government,Secondary,11.3
2024,Northern Territory,Government,All,11.3
2024,Northern Territory,Catholic,Primary,13.8
2024,Northern Territory,Catholic,Secondary,10.5
2024,Northern Territory,Catholic,All,12.0
2024,Northern Territory,Independent,Primary,13.7
2024,Northern Territory,Independent,Secondary,9.8
2024,Northern Territory,Independent,All,11.3
2024,Northern Territory,All non-government,Primary,13.8
2024,Northern Territory,All non-government,Secondary,10.1
2024,Northern Territory,All non-government,All,11.6
2024,Northern Territory,All,Primary,11.7
2024,Northern Territory,All,Secondary,10.9
2024,Northern Territory,All,All,11.4
2024,Australian Capital Territory,Government,Primary,13.0
2024,Australian Capital Territory,Government,Secondary,12.9
2024,Australian Capital Territory,Government,All,13.0
2024,Australian Capital Territory,Catholic,Primary,17.4
2024,Australian Capital Territory,Catholic,Secondary,12.9
2024,Australian Capital Territory,Catholic,All,14.8
2024,Australian Capital Territory,Independent,Primary,14.5
2024,Australian Capital Territory,Independent,Secondary,11.8
2024,Australian Capital Territory,Independent,All,13.0
2024,Australian Capital Territory,All non-government,Primary,16.2
2024,Australian Capital Territory,All non-government,Secondary,12.4
2024,Australian Capital Territory,All non-government,All,14.0
2024,Australian Capital Territory,All,Primary,14.0
2024,Australian Capital Territory,All,Secondary,12.7
2024,Australian Capital Territory,All,All,13.4
2024,Australia,Government,Primary,13.8
2024,Australia,Government,Secondary,12.2
2024,Australia,Government,All,13.1
2024,Australia,Catholic,Primary,15.0
2024,Australia,Catholic,Secondary,11.9
2024,Australia,Catholic,All,13.3
2024,Australia,Independent,Primary,13.7
2024,Australia,Independent,Secondary,10.5
2024,Australia,Independent,All,11.7
2024,Australia,All non-government,Primary,14.4
2024,Australia,All non-government,Secondary,11.2
2024,Australia,All non-government,All,12.5
2024,Australia,All,Primary,14.0
2024,Australia,All,Secondary,11.7
2024,Australia,All,All,12.9
2023,New South Wales,Government,Primary,14.9
2023,New South Wales,Government,Secondary,13.2
2023,New South Wales,Government,All,14.1
2023,New South Wales,Catholic,Primary,15.8
2023,New South Wales,Catholic,Secondary,12.1
2023,New South Wales,Catholic,All,13.7
2023,New South Wales,Independent,Primary,14.1
2023,New South Wales,Independent,Secondary,10.0
2023,New South Wales,Independent,All,11.6
2023,New South Wales,All non-government,Primary,15.1
2023,New South Wales,All non-government,Secondary,11.1
2023,New South Wales,All non-government,All,12.7
2023,New South Wales,All,Primary,14.9
2023,New South Wales,All,Secondary,12.2
2023,New South Wales,All,All,13.6
2023,Victoria,Government,Primary,13.4
2023,Victoria,Government,Secondary,11.5
2023,Victoria,Government,All,12.6
2023,Victoria,Catholic,Primary,13.4
2023,Victoria,Catholic,Secondary,11.5
2023,Victoria,Catholic,All,12.4
2023,Victoria,Independent,Primary,12.9
2023,Victoria,Independent,Secondary,9.6
2023,Victoria,Independent,All,10.8
2023,Victoria,All non-government,Primary,13.2
2023,Victoria,All non-government,Secondary,10.5
2023,Victoria,All non-government,All,11.6
2023,Victoria,All,Primary,13.3
2023,Victoria,All,Secondary,11.1
2023,Victoria,All,All,12.2
2023,Queensland,Government,Primary,14.2
2023,Queensland,Government,Secondary,12.0
2023,Queensland,Government,All,13.2
2023,Queensland,Catholic,Primary,16.1
2023,Queensland,Catholic,Secondary,12.3
2023,Queensland,Catholic,All,14.0
2023,Queensland,Independent,Primary,15.3
2023,Queensland,Independent,Secondary,11.8
2023,Queensland,Independent,All,13.1
2023,Queensland,All non-government,Primary,15.8
2023,Queensland,All non-government,Secondary,12.0
2023,Queensland,All non-government,All,13.6
2023,Queensland,All,Primary,14.6
2023,Queensland,All,Secondary,12.0
2023,Queensland,All,All,13.3
2023,South Australia,Government,Primary,13.7
2023,South Australia,Government,Secondary,12.9
2023,South Australia,Government,All,13.3
2023,South Australia,Catholic,Primary,14.8
2023,South Australia,Catholic,Secondary,12.3
2023,South Australia,Catholic,All,13.5
2023,South Australia,Independent,Primary,14.2
2023,South Australia,Independent,Secondary,10.9
2023,South Australia,Independent,All,12.3
2023,South Australia,All non-government,Primary,14.5
2023,South Australia,All non-government,Secondary,11.5
2023,South Australia,All non-government,All,12.8
2023,South Australia,All,Primary,14.0
2023,South Australia,All,Secondary,12.3
2023,South Australia,All,All,13.1
2023,Western Australia,Government,Primary,15.4
2023,Western Australia,Government,Secondary,12.7
2023,Western Australia,Government,All,14.2
2023,Western Australia,Catholic,Primary,16.3
